ID_Agencia,Hotel_cve,Agencia_cve,Agencia_nombre,Ciudad_Nombre,Estado_cve,Pais_cod,ID_Entidad_Fed_Agencia,ID_Vendedor
121,AZU,"TSUNAMI  ","LIGA INTERNACIONAL DE CINTAS NEGRAS                                                                 ","CD DE MEXICO                                                ","EDF   ","PMX   ",107,0
122,AZU,"TT1      ","GRUPO SOFIA VALDEZ / 21-23 JUNIO 2019 / AZUL                                                        ","HIDALGO                                                     ","EHG   ","PMX   ",151,0
123,AZU,"TT2      ","GRUPO LILY´S TOURS / 11-14 DE MAYO 2019 / AZUL                                                      ","CIUDAD DE MEXIC                                             ","EDF   ","PMX   ",107,0
124,AZU,"TT3      ","GRUPO EQUIPO ZENITH SAN JUAN / 13-16 JUNIO / GRAND                                                  ","SAN JUAN DEL RI                                             ","EQE   ","PMX   ",293,0
125,AZU,"UAGRO    ","UNIVERSIDAD AUTONOMA DE GUERRERO                                                                    ","CHILPANCINGO                                                ","EGR   ","PMX   ",142,0
126,AZU,"USOCASA  ",HOTELES S.A.,"IXTAPA                                                      ","EGR   ","PMX   ",142,0
127,AZU,"VAPORMA  ","THE VAPORMATIC CO. LTD, S.A. DE C.V.                                                                ","QUERETARO                                                   ","EQE   ","PMX   ",293,0
128,AZU,"VIAJOMX  ","VIAJO MEXICO                                                                                        ","GUADALAJARA                                                 ","EJA   ","PMX   ",173,0
129,AZU,"VICARIO  ","ESCUELA PRIMARIA LEONA VICARIO - YANELI SOLIS                                                       ","COACOYUL                                                    ","EGR   ","PMX   ",142,0
130,AZU,"VILLAT   ","VILLA TOURS S.A. DE C.V.                                                                            ","MONTERREY                                                   ","ENL   ","PMX   ",253,0
131,AZU,VIVE Y RE,"MICHELLE  SOBERANIS OREGON                                                                          ","ZIHUATANEJO                                                 ","EGR   ","PMX   ",142,0
132,AZU,"VIZAT    ","TURISTICOS VIZA TOURS                                                                               ","IZTAPALAPA                                                  ","EMX   ","PMX   ",236,0
